Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,ticker
Price,Open,High,Low,Close,Volume,
Date,,,,,,
2024-10-28,30.4538982518299,31.003080426296023,30.325182247583918,30.9687557220459,27507100,PETR4.SA
2024-10-29,31.174698867407766,31.25192453741892,30.719904745911496,30.900104522705078,26090200,PETR4.SA
2024-10-30,30.99449274594736,31.20901720374425,30.762805938720703,30.762805938720703,26144700,PETR4.SA
2024-10-31,30.77997011416764,30.934427994815266,30.574028455559898,30.814294815063477,25597000,PETR4.SA
2024-11-01,31.063144107548737,31.209019176849118,30.290854701300667,30.39382553100586,30605300,PETR4.SA
2024-11-04,30.805715285286695,30.848619524726864,30.35950399366491,30.462474822998047,24003600,PETR4.SA
2024-11-05,30.462477159243726,30.548285644704936,30.059170076131455,30.368085861206055,23990600,PETR4.SA
2024-11-06,30.07633079314736,30.428150801829926,30.067751254421125,30.376667022705078,28440800,PETR4.SA
2024-11-07,30.453895000239427,30.797132185941024,30.265112420404204,30.471054077148438,34081200,PETR4.SA
2024-11-08,30.762810371865108,31.16611745812545,30.49680210082865,31.045984268188477,49865100,PETR4.SA
2024-11-11,30.882948359697334,31.251927486982133,30.80571940901352,31.10605239868164,21446300,PETR4.SA
2024-11-12,31.200438696413595,31.844012091064425,31.18327634641688,31.68955421447754,39412300,PETR4.SA
2024-11-13,31.70671690326961,31.80968773096662,31.346314096254687,31.646650314331055,34090000,PETR4.SA
2024-11-14,31.68097365453329,32.032796944396694,31.629489874267456,31.98130989074707,30262100,PETR4.SA
2024-11-18,31.92123726366648,32.86514348845001,31.92123726366648,32.779335021972656,39004100,PETR4.SA
2024-11-19,32.693524876777865,32.86514509148671,32.30738348541211,32.43609619140625,26002700,PETR4.SA
2024-11-21,32.58198174779128,32.719277295340234,32.22157888961026,32.530494689941406,36048400,PETR4.SA
2024-11-22,33.21696892789658,34.178040932863304,33.01102726496351,33.82621765136719,85234900,PETR4.SA
2024-11-25,33.79189764671519,34.20378426331696,33.59453551418,33.620277404785156,41119500,PETR4.SA
2024-11-26,33.774731802064615,33.90344451516226,33.517303102485805,33.577369689941406,35188200,PETR4.SA
2024-11-27,33.63744084518662,33.77473638849824,33.2512961066902,33.45724105834961,30600700,PETR4.SA
2024-11-28,33.30277716395479,33.72324325750048,32.93379484401195,33.11399459838867,33113500,PETR4.SA
2024-11-29,33.03676823763543,33.65459975605578,32.95953929783288,33.380008697509766,44011700,PETR4.SA
2024-12-02,33.3800113415685,33.80906031370494,33.268457692265535,33.59453582763672,31711800,PETR4.SA
2024-12-03,33.80905846298283,33.894866943359375,33.53446739771745,33.894866943359375,22536200,PETR4.SA
2024-12-04,33.89486810963625,34.2037838870351,33.44865679488055,33.68034362792969,31584400,PETR4.SA
2024-12-05,33.8004711293237,34.160873900137155,33.64601326660125,34.01499557495117,25214200,PETR4.SA
2024-12-06,34.01500216208702,34.06648921742626,33.43149529511128,33.49156188964844,31118500,PETR4.SA
2024-12-09,33.79189752986999,34.46979240940464,33.77473517839795,34.35824203491211,28548700,PETR4.SA
2024-12-10,34.58134885408716,34.69290251098556,34.418311411992654,34.48695755004883,21837600,PETR4.SA
2024-12-11,34.62425142961126,34.97607146281408,34.28101420911658,34.830196380615234,46900900,PETR4.SA
2024-12-12,34.54624624202136,34.697919754932755,34.01092015313135,34.20720672607422,38310600,PETR4.SA
2024-12-13,34.439175841408215,34.55516366061481,33.83247503809443,33.993072509765625,23235400,PETR4.SA
2024-12-16,34.07337057009066,34.13582476300259,33.752179036614265,33.850318908691406,21349400,PETR4.SA
2024-12-17,33.85032145729945,34.341037872122705,33.75218157783331,34.17151641845703,39617200,PETR4.SA
2024-12-18,34.15367293453116,34.260740193901725,33.28823471069336,33.28823471069336,58126400,PETR4.SA
2024-12-19,33.600503208854775,33.841399419270026,32.993802398216005,33.15439987182617,43268400,PETR4.SA
2024-12-20,33.15440439321541,33.32392245914468,32.7529106544368,32.8778190612793,59277400,PETR4.SA
2024-12-23,33.01164621053403,33.05625586255131,32.76182943643863,32.88673782348633,43785600,PETR4.SA
2024-12-26,33.00427847007169,33.34701064563937,32.97648689170171,33.13396072387695,22920700,PETR4.SA
2024-12-27,33.34701047437141,33.34701047437141,32.985751759604604,33.032066345214844,24167200,PETR4.SA
